"tweet","senti"
"@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ",4
"heyy loves!! just finished my record in the studio!! going to kick it with lauren c.!!  byee!! &lt;3",4
"@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.",4
"Apples not even barely doing anything a couple features here and there google has got self driving car Google glass google tango project ara",2
"I loved today ",4
"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s",2
"  we don't have much data on IND balls, but likely started at higher PSI / lower tmp than pats balls. #DeflateGate",2
"fucking faggots @apple",0
"Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha",4
"@amp451 good night  sweet dreamz",4
"@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates ",4
" now I'm happy ",4
"@amazingphoebe mmh, you are stupid sometimes, but not as much as me, for i am the stupid, fucked up, retarded one in our relationship ",0
" they do its called Google car",2
"Night at the Museum, Wolverine and junk food - perfect monday!",4
"playing with cURL and the Twitter API",2
"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",0
"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?",0
"@the_real_usher LeBron is cool.  I like his personality...he has good character.",4
"fucking Google car in hiawatha!",0
"First dentist appointment [in years] on Wednesday possibly.",2
"this hockey band look like mgmt+3, but fucking hell they're good. sabrepulse come back too ",0
"........*sigh* long distance i fucking hate it.  but on the brighter side,random ass road trip to famu today.then fort valley monday! oboy",0
"Back when I worked for Nike we had one fav word : JUST DO IT! :)",4
"just landed at San Francisco",2
"Ugh studying today. I need a study place/study buddy! Anyone into it?! Its also lovely out   fuck the leaving cert.",0
"Just got my new toy. Canon 50D. Love love love it!",4
": #DeflateGate #Ballghazi #BallGate All Tom Brady and Belichick have to do is say they are long time democrats and base …",2
"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old.",2
" Hi guys checking in US/AA 639 JFK PHX and renewed Admirals Club today.",2
"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html",0
"so tired. i didn't sleep well at all last night.",0
"Google has a self driving car!!!! Awesome",4
"could time-warner cable suck more?  NO.",0
"Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush",2
"um, can i have it tmrrw? â€œ@engadget: Would you buy a self-driving car powered by @Google?"" http://t.co/Dk0YZSeaXK http://t.co/2pkm4y61z6â€",4
"@seanjs I'd like to own a completely redesigned self-driving car with (among other things) the front seats reversed.",4
"Going to see night at the museum 2 with tall boy",2
"Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p",4
"I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them",4
"What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO",2
"OMFG I'm never drinking again...I still have a fuckin sore throat ",0
"â€œ@FacesPics: Google's new self-driving car http://t.co/qymxdTW1D9â€ I watched something on this earlier HOLY CRAP",4
"@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime",0
"@ronjon we don't have Safeway.",2
"@blackbarbie027 my entire college. They fucking lost my transcript now I can't attend in the Summer to catch up w/ my credits ",0
"Is Eating and Watching Movies....",2
"@poptopvw Cool arent they? I love them  Makes life so easy!",4
" thanks bae",2
" will you check the air pressure on  truck. I think his tires might need some air. #DeflateGate #GOBRONCOS #LSULSU",2
"@united Thanks to supervisor Miriam who provided me with great customer service. #finally",4
"I love my Kindle2. No more stacks of books to trip over on the way to the loo.",4
"  I made a #DeflateGate Sad Einstein Brady for you: /Vh80XLd7az",2
"@wmmarc great interview! Glad to see it ",4
"Check this video out -- David After Dentist http://bit.ly/47aW2",2
"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir",4
"@DonnieWahlberg Yessirrr! Don't give anyone that much power, do what makes you happy...that's why I'll be seeing you in da summah!! ",4
"@apple U need to get ur fucking shit together and let me txt while on YouTube",0
"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...",2
"How is an automated vehicle supposed to behave in an emergency? #AutoAuto",2
"Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)",2
"Leavin for shauns. fuck grandparents get around slow. text me or tweet me. @Ariannagrace321 you stopped textin me ",0
"We already have self driving cars on the road. They're just waiting for the ok by the government for the software to be activated.",2
"My son disowned me over a PS3.that bites.going 2 dr 2moro u know ya fucked when u hope that find somethin fatal  life blows",0
"@ruby_gem My primary debit card is Visa Electron.",2
"â€œ: Toyota to reveal self driving car research at CES /V9VMgILBâ€",2
"Time Warner cable is down again 3rd time since Memorial Day bummer!",0
"If Google's self-driving car is the future, I don't want to be a part of it. #savethemanuals",0
"@Lucasbamf I'm so close to buying a new car.I had a near death experience in the car today with the train and fucked up ALL my wheel grip ",0
"looks like summize has gone down. too many tweets from WWDC perhaps?",0
"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",4
"New post on my blog: Got new cases. :)    #slc #citycreek #apple #applestore #red #pr... /S4XRRXR8uq",2
"Gawd! My laptop is fucked up now! System Error?! Just using my Lil brother's laptop. ",0
"@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!",4
"I'm going to bed. It was a successful weekend. Stanford, here I come.",2
"@petewentz @petewentz fuck  I wish I was in Houston. Shawn Connery, Peirce bronson, timothy dalton, roger Moore. And that's all I know",0
"Time warner is the devil. Worst possible time for the Internet to go out.",0
"Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!",4
"city all day soo happy to be home. school in the morning ",4
"again with the fucked sleep... ive decided to go do homework instead ",0
"@foxnews Pelosi should stay in China and never come back.",0
"Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.",4
"top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9",4
"@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!",0
"Time Warner's HD line up is crap.",0
" and The from  Team to Offer In-#Flight Access to Journal ... - Nassau News Live /7E5bxwG16t",2
"so sleepy. good times tonight though ",4
"Great post by  on how public investors should think about investing in a world with self driving cars /FphlmnKtp7",2
"@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!",0
"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ",4
"Driverless car slams into AZ home inches from sleeping kids: According to a police report, a truck smashed into a... http://t.co/8ibfetj9dS",0
"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen",4
"Callin it a night! I always have the best sleep after a good workout!! ",4
"@Dommm did comcast fail again??",0
"@warp I love that Aussie cattle dog story ",4
"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0
"@KnightOwl89 Sounds good,  I wish i could have done it but I'm determined to find them in the park. They better be in there!",4
"Self-driving cars hold 'great promise' for saving thousands of lives, says US government official http://t.co/adOyi8bF",4
"Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.",4
"@jonduenas @robynlyn just got us a 50D for the office. :D",4
"@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR",4
"Should really check the air pressure in my tires more often. They were as bad as a New England #Patriots football. #DeflateGate",2
"Fuck no internet damn time warner!",0
"Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5",2
"States take the wheel on #driverless cars /R6kp8ZKOyq via  #fb",2
"So google has a driver-less car? They can take the steering wheel away from my cold, dead hands before i buy one.",0
" sent",2
"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.",4
"...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep.",4
"using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!",4
"Time Warner Cable slogan: Where calling it a day at 2pm Happens.",0
"@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!",4
"Asthma fucking BLOWS  Can't wait till I finish up Asmanex treatments. Follow up (and hopefully final) apt w/ pulmonologist is this week.",0
"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",4
"is jammin to ATL, since they had a secret show in HTown and i fucking missed it.  FML.",0
" when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?",2
"Watching Lebron highlights. Damn that niggas good",4
"@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!",4
"@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU",0
"omg so bored &amp; my tattoooos are so itchy!!  help! aha =)",0
"Driverless cars are not worth the risk.  Don't want to be on the highway when the server crashes #SadMacFace #BlueScreenofDeath",0
"@khalid0456 No, Lebron is the best",4
"My Dell Laptop's battery is fucked up! ",0
"@DonnieWahlberg My kids get up and wish you a good morning  They don�t know what time it is in america ",4
"My Kindle2 came and I LOVE it! :)",4
"Bloated as fuck. 1l choc milk will do that followed by 2 bagels with spinach and cheese. ",0
"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple",0
"@petewentz @trohman @fuckcity omg i'm so so sorry guys  that's really sad. I hope you're safe now.",0
"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated.",4
"@united and they were traveling as guests of a mileage plus member using that members miles. Great customer service.",4
"The baby from American Sniper was also under-inflated #DeflateGate",2
"What is this I am hearing about driverless cars coming out? Da fuck? Are people that lazy, that just seems dangerous as all hell.",0
"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?",4
"eating sashimi",2
"Automotive technology: Driver-less cars will reduce accidents, ease congestion.",4
"@JessicaRayburn I accidentally stepped on my Power Strip off button and now my internets are fucked up DAMMIT ",0
"@Pmillzz lebron IS THE BOSS",4
"Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china",2
"Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI",4
"What the fuck is the point of a driverless car",0
"need suggestions for a good IR filter for my canon 40D ... got some? pls DM",2
" I sent the message. Let me know ASAP.",2
"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",2
"Reading my kindle2...  Love it... Lee childs is good read.",4
"@Orli the G2 is amazing btw, a HUGE improvement over the G1",4
"crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ",4
"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio",4
"The perks of driving around in the Bay area. A Google Self-Driving Car might show up next to you /iIkJNaZte7",2
"Video of the first user of @Google 's self driving car (lost 95% of his vision - well past legally blind) http://t.co/wk6qeQIF #amazing",4
"@heidimontag I think that it's going to be a good season ",4
"just got back from the movies.  went to see the new night at the museum with rachel.  it was good",4
"I've been in the car for 12 hours  No fucking joke we went to santa cruz for 30 mins then had to go. Hella ghey.",0
"at safeway with dad",2
"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",4
"cant sleep... my tooth is aching.",0
"Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl",4
"Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala",0
"Jake's going to safeway!",2
"@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! ",4
"Driverless cars, medical chips, scan and buy through your phone. I need to get the fuck out of this country.",0
"100% against  driverless car. #cbs",0
"happy to spend time with the family. ",4
"@united sorry to hear outsourcing plan. Boise is best staff/cust service in the country. #boise",4
"@littleben2009 no way would I put my trust in a driverless car. That's were they would lose people.",0
"WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple",0
"We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.",4
"@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ",4
"NFL plz focus as intently on id-ing ""Who Let The Air Out"" of Patriots balls as in forcing SeaHawks #MarshawnLynch to talk.
#DeflateGate",2
"Send us your GM/Chevy photos http://tinyurl.com/luzkpq",2
"Damn you North Korea. http://bit.ly/KtMeQ",0
"saw the new Night at the Museum and i loved it. Next is to go see UP in 3D",4
"10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn",2
"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!",4
"Lyx is cool.",4
"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",4
"Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.",0
"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",2
"Since when did @apple stop replacing iPhone units due to defect? Just because I have some scratches on my phone doesn't mean I dropped it.",0
"""I deflate all the balls."" -   #DeflateGate",2
"heyya im so borde my sound card is fucked so i cant listen to music  btw by that i mean mcr  lol",0
"wth..i have never seen a line this loooong at time warner before, ugh.",0
"Google is developing a self driving car. That's fucking awesome.",4
"i am furious with time warner and their phone promotions!",0
"Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship",2
"Google came out with a self driving car ðŸ˜±ðŸ˜±",2
"@kyleconnecticut no fucking way. ",0
"Oh my fucking god my stomach is growling ",0
"@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!",4
"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.",4
"Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it",0
"@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.",4
"I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)",0
"@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? ",4
"@FastCoDesign I am so excited for this! Come on self-driving cars.",4
"Bout to hit safeway I gotta eat",2
"@JonathanRKnight Hey Jon we all love ya and understand,that's all it counts  ",4
"Taking Katie to see Night at the Museum.  (she picked it)",2
"just got back from church, and I totally hate insects.",0
"Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?",0
"At safeway on elkhorn, they move like they're dead!",0
"@ Safeway. Place is a nightmare right now. Bumming.",0
"Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic",0
"Off to the NIKE factory!!!",4
"45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ",2
"Higher physics exam tommorow, not lookin forward to it much :(",0
"fucking ugh ",0
"@morind45 Because the twitter api is slow and most client's aren't good.",0
"Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)",2
"Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu",4
"Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!",4
"@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united",0
"@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon",4
"Self-Driving Car Test: Steve Mahan this is amazing. #Google http://t.co/DtYD3PF9ZG",4
"@united Got me home amid snow &amp; Cancelled Flightlations; delivered bag w/o hassle; plus no wait on phone &amp; an upgrade. Thank you!",4
"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0
"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448",2
"So cool! RT @wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/CC69aU9b",4
"Saw the Google Car again. Asked if I could drive. The driver showed me how the car can ""see"". Awesomeâ€¦ http://t.co/HTuaMykMsy",4
"I'm not high anymore and some stinky guy with a mail order bride is pissing me the fuck off.. ",0
"Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.",2
"Obama's speech was pretty awesome last night! http://bit.ly/IMXUM",4
"I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.",0
"@noarmsjames my lovely man is cooking me dinner and then we're going for a walk ",4
"Could go for a lot of McDonalds. i mean A LOT.",4
"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",4
"just got a free G2 android at google i/o!!!",4
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",4
"going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin",2
"ten years ago today I was running around in shorts and a tee shirt in nice weather. 2009, it's fucking snowing and freezing cold ",0
"LAKERS tonight let's go!!!!",4
"Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!",4
"Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.",2
"@sportsguy33 Ummm, having some Time Warner problems?",0
": This was pretty funny thanks Dad #DeflateGate #GoPats /ppQC7hQ0UT",2
"ok.. do nothing.. just thinking about 40D",2
"Why is it that someday you look nearly good and the next day you look totally fucked up? Today is the next day ",0
"Oh, look. It's acutally one of the Google self driving cars on the freeway.   880 North /ExLJcptl",2
"http://is.gd/ArUJ Good video from Google on using search options.",4
"and I broke a fucking nail. ",0
"@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks",4
"@YarnThing you will not regret going to see Star Trek. It was AWESOME!",4
"How do you use the twitter API?... http://bit.ly/4VBhH",2
"Eminem We Made You is GAWBAGE[/Rosci] !  Imma cop Asher Roth's album instead fuck em on his &quot;ass like that &quot; flow",0
", flights 1970, 1366, and 1552 will fly over after 1 am on your way into  - mind taking ocean approach so we can sleep?",2
"lebron and zydrunas are such an awesome duo",4
"Total believe it @mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/gF125DA3",4
"is scrapbooking with Nic =D",4
"@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.",4
"OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.",0
"@united you guys have such big hearts.. keep up the good work",4
"Eating dinner. Meat, chips, and risotto.",2
"i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful ",0
"The Times of India: The wonder that is India's election. http://bit.ly/p7u1H",4
"iOS 8.1 has fucked my battery life on my iPhone 6. Really starting to wonder if @apple has any quality control anymore. Wish I was on 8.01",0
"Saw the  car just outside of Barnwell, #Alberta in #Taber ðŸ˜€ half hour east of #Lethbridge",2
"US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders",0
"@united thank you! 😊",4
"@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.",0
" add DTW and I'm sold!",2
"@mattcutts have google profiles stopped showing up in searches? cant see them anymore",2
"Arg. Twitter API is making me crazy.",0
"Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7",2
"@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2",4
"insects have infected my spinach plant :(",0
"ShaunWoo hate'n on AiG",0
"These self driving cars are fucking amazing",4
"itchy back!! dont ya hate it!",0
"#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.",4
"@bluestreak23 @jasonandjodie Coming soon enough my friends - Big project in works for just that - Good new and only good news ",4
"RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR",4
"stupid autonomous car  if you can drive yourself you should be able to write a damn research paper on yourself too",0
"I keep seeing a lot of people talk about seeing the Google maps car and I'm just like oh I've seen the Google self-driving car so ðŸ’ðŸš˜",2
"@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job",4
"unbelievably excited about the google self-driving car",4
"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012",0
"@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.",4
"@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.",4
"@united cool, thanks.",4
"Weird Piano Guitar House in China! http://u2s.me/72i8",2
"I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.",4
"@stevemoakler i had a dentist appt this morning and had the same conversation!",2
"I want that google car that drives itself",4
"I got new pillows and They fucking pwn all pillows everywhere else. My only regret is that I cant use them for very long tonight. ",0
"well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. ",4
" What confirmation number?",2
"Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.",0
"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",4
"Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50",2
"@united @parryaftab done thnx",4
"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2"".",2
"@jenniferdaniel: As someone who never learned how to drive I welcome our google car overlords.",4
"@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil",0
"I can't wait, going to see star trek tonight!!",4
"Driverless Cars: Now Street-Legal in California ... a good reason to leave CA... no one is behind the wheel http://t.co/1keEMOpH",0
"Can we just go ahead and blow North Korea off the map already?",0
"After using LaTeX a lot, any other typeset mathematics just looks hideous.",4
"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",0
"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.",4
"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",0
"Driver less cars? Fuck that I don't want machines ruling the world FTW",0
"We just saw a self driving Google car!! So awesome!",4
"fucking bored ",0
"Thanks for share. Driverless cars won't make us thinner, healthier, happier â€œ@transitfok: Driverless cars and sprawl http://t.co/q6OI1IfwLhâ€",0
"is annoyed that we aren't trusted because they have no idea how many plans that fucks up ",0
"Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.",0
"@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)",4
"@Jonathanrknight so good knight and sleep well.  I know I will now!! ",4
":   
If Starbucks shuts down, anon is decimated",2
"I just fucked up my already fucked ankle because some moron thought it was a good idea to freak me out, and I slipped on ice at my door. ",0
"Imagine a world where 's self driving car merges with  and ? #itscoming #codecon",2
"@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?",0
"Sadie hates the google car. ðŸ˜‚",0
"â€œ: Di Caro uses the last question to ask about driverless cars. #Mocotranspoâ€ wild card question.",2
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0
"wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;",4
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",4
"Riding in a driverless car is on my bucket list, this is so damn exciting. #Google http://t.co/dOuKZKacnU",4
"has a date with bobby flay and gut fieri from food network",2
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",4
"Closing time at zeros boo  time to chug those beers fuckers",0
"Slight delay, something to do with the basketball... #DeflateGate?",2
"@united Just did, thanks for checking! :)",4
"I'd like to hear what  thinks about Tom Brady's saggy balls #DeflateGate",2
"@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE",0
"@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ",4
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0
"omgg i ohhdee want mcdonalds damn i wonder if its open lol =]",4
"@pdxcommute driverless cars will be 1000x cheaper than high-speed rail and better for everyone. HSR is a waste of money",4
