"tweet","senti"
"........*sigh* long distance i fucking hate it.  but on the brighter side,random ass road trip to famu today.then fort valley monday! oboy",0
"just landed at San Francisco",2
"Ugh studying today. I need a study place/study buddy! Anyone into it?! Its also lovely out   fuck the leaving cert.",0
"Just got my new toy. Canon 50D. Love love love it!",4
"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old.",2
" Hi guys checking in US/AA 639 JFK PHX and renewed Admirals Club today.",2
"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html",0
"so tired. i didn't sleep well at all last night.",0
"Google has a self driving car!!!! Awesome",4
"Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush",2
"um, can i have it tmrrw? â€œ@engadget: Would you buy a self-driving car powered by @Google?"" http://t.co/Dk0YZSeaXK http://t.co/2pkm4y61z6â€",4
"@seanjs I'd like to own a completely redesigned self-driving car with (among other things) the front seats reversed.",4
"Going to see night at the museum 2 with tall boy",2
"Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p",4
"I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them",4
"What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO",2
"OMFG I'm never drinking again...I still have a fuckin sore throat ",0
"@ronjon we don't have Safeway.",2
"Is Eating and Watching Movies....",2
"@poptopvw Cool arent they? I love them  Makes life so easy!",4
" thanks bae",2
" will you check the air pressure on  truck. I think his tires might need some air. #DeflateGate #GOBRONCOS #LSULSU",2
"@united Thanks to supervisor Miriam who provided me with great customer service. #finally",4
"  I made a #DeflateGate Sad Einstein Brady for you: /Vh80XLd7az",2
"@wmmarc great interview! Glad to see it ",4
"Check this video out -- David After Dentist http://bit.ly/47aW2",2
"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir",4
"@DonnieWahlberg Yessirrr! Don't give anyone that much power, do what makes you happy...that's why I'll be seeing you in da summah!! ",4
"@apple U need to get ur fucking shit together and let me txt while on YouTube",0
"How is an automated vehicle supposed to behave in an emergency? #AutoAuto",2
"My son disowned me over a PS3.that bites.going 2 dr 2moro u know ya fucked when u hope that find somethin fatal  life blows",0
"â€œ: Toyota to reveal self driving car research at CES /V9VMgILBâ€",2
"Time Warner cable is down again 3rd time since Memorial Day bummer!",0
"If Google's self-driving car is the future, I don't want to be a part of it. #savethemanuals",0
"@Lucasbamf I'm so close to buying a new car.I had a near death experience in the car today with the train and fucked up ALL my wheel grip ",0
"looks like summize has gone down. too many tweets from WWDC perhaps?",0
"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",4
"Gawd! My laptop is fucked up now! System Error?! Just using my Lil brother's laptop. ",0
"@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!",4
"I'm going to bed. It was a successful weekend. Stanford, here I come.",2
"Time warner is the devil. Worst possible time for the Internet to go out.",0
"Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!",4
"again with the fucked sleep... ive decided to go do homework instead ",0
"Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.",4
"top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9",4
"@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!",0
" and The from  Team to Offer In-#Flight Access to Journal ... - Nassau News Live /7E5bxwG16t",2
"so sleepy. good times tonight though ",4
"Great post by  on how public investors should think about investing in a world with self driving cars /FphlmnKtp7",2
"@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!",0
"Driverless car slams into AZ home inches from sleeping kids: According to a police report, a truck smashed into a... http://t.co/8ibfetj9dS",0
"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen",4
"Callin it a night! I always have the best sleep after a good workout!! ",4
"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0
"Self-driving cars hold 'great promise' for saving thousands of lives, says US government official http://t.co/adOyi8bF",4
"Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.",4
"@jonduenas @robynlyn just got us a 50D for the office. :D",4
"Should really check the air pressure in my tires more often. They were as bad as a New England #Patriots football. #DeflateGate",2
"Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5",2
"States take the wheel on #driverless cars /R6kp8ZKOyq via  #fb",2
" sent",2
"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.",4
"...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep.",4
"Time Warner Cable slogan: Where calling it a day at 2pm Happens.",0
"@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!",4
"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",4
"is jammin to ATL, since they had a secret show in HTown and i fucking missed it.  FML.",0
"@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!",4
"@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU",0
"omg so bored &amp; my tattoooos are so itchy!!  help! aha =)",0
"Driverless cars are not worth the risk.  Don't want to be on the highway when the server crashes #SadMacFace #BlueScreenofDeath",0
"@khalid0456 No, Lebron is the best",4
"@DonnieWahlberg My kids get up and wish you a good morning  They don�t know what time it is in america ",4
"My Kindle2 came and I LOVE it! :)",4
"Bloated as fuck. 1l choc milk will do that followed by 2 bagels with spinach and cheese. ",0
"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple",0
"@petewentz @trohman @fuckcity omg i'm so so sorry guys  that's really sad. I hope you're safe now.",0
"@united and they were traveling as guests of a mileage plus member using that members miles. Great customer service.",4
"The baby from American Sniper was also under-inflated #DeflateGate",2
"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?",4
"eating sashimi",2
"Automotive technology: Driver-less cars will reduce accidents, ease congestion.",4
"@Pmillzz lebron IS THE BOSS",4
"Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china",2
"Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI",4
"What the fuck is the point of a driverless car",0
"need suggestions for a good IR filter for my canon 40D ... got some? pls DM",2
"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",2
"@Orli the G2 is amazing btw, a HUGE improvement over the G1",4
"crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ",4
"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio",4
"The perks of driving around in the Bay area. A Google Self-Driving Car might show up next to you /iIkJNaZte7",2
"@heidimontag I think that it's going to be a good season ",4
"just got back from the movies.  went to see the new night at the museum with rachel.  it was good",4
"at safeway with dad",2
"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",4
"cant sleep... my tooth is aching.",0
"Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl",4
"Driverless cars, medical chips, scan and buy through your phone. I need to get the fuck out of this country.",0
"100% against  driverless car. #cbs",0
"happy to spend time with the family. ",4
"@littleben2009 no way would I put my trust in a driverless car. That's were they would lose people.",0
"WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple",0
"We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.",4
"@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ",4
"NFL plz focus as intently on id-ing ""Who Let The Air Out"" of Patriots balls as in forcing SeaHawks #MarshawnLynch to talk.
#DeflateGate",2
"Damn you North Korea. http://bit.ly/KtMeQ",0
"10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn",2
"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!",4
"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",4
"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",2
"Since when did @apple stop replacing iPhone units due to defect? Just because I have some scratches on my phone doesn't mean I dropped it.",0
"""I deflate all the balls."" -   #DeflateGate",2
"heyya im so borde my sound card is fucked so i cant listen to music  btw by that i mean mcr  lol",0
"wth..i have never seen a line this loooong at time warner before, ugh.",0
"Google is developing a self driving car. That's fucking awesome.",4
"i am furious with time warner and their phone promotions!",0
"Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship",2
"Google came out with a self driving car ðŸ˜±ðŸ˜±",2
"@kyleconnecticut no fucking way. ",0
"@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!",4
"Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it",0
"@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.",4
"@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? ",4
"Bout to hit safeway I gotta eat",2
"@JonathanRKnight Hey Jon we all love ya and understand,that's all it counts  ",4
"Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?",0
"At safeway on elkhorn, they move like they're dead!",0
"@ Safeway. Place is a nightmare right now. Bumming.",0
"Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic",0
"Off to the NIKE factory!!!",4
"45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ",2
"Higher physics exam tommorow, not lookin forward to it much :(",0
"fucking ugh ",0
"@morind45 Because the twitter api is slow and most client's aren't good.",0
"Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)",2
"Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!",4
"@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united",0
"@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon",4
"@united Got me home amid snow &amp; Cancelled Flightlations; delivered bag w/o hassle; plus no wait on phone &amp; an upgrade. Thank you!",4
"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0
"So cool! RT @wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/CC69aU9b",4
"Saw the Google Car again. Asked if I could drive. The driver showed me how the car can ""see"". Awesomeâ€¦ http://t.co/HTuaMykMsy",4
"Obama's speech was pretty awesome last night! http://bit.ly/IMXUM",4
"I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.",0
"@noarmsjames my lovely man is cooking me dinner and then we're going for a walk ",4
"Could go for a lot of McDonalds. i mean A LOT.",4
"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",4
"just got a free G2 android at google i/o!!!",4
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",4
"going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin",2
"ten years ago today I was running around in shorts and a tee shirt in nice weather. 2009, it's fucking snowing and freezing cold ",0
"LAKERS tonight let's go!!!!",4
"Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!",4
"Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.",2
": This was pretty funny thanks Dad #DeflateGate #GoPats /ppQC7hQ0UT",2
"ok.. do nothing.. just thinking about 40D",2
"http://is.gd/ArUJ Good video from Google on using search options.",4
"@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks",4
"@YarnThing you will not regret going to see Star Trek. It was AWESOME!",4
"How do you use the twitter API?... http://bit.ly/4VBhH",2
"Eminem We Made You is GAWBAGE[/Rosci] !  Imma cop Asher Roth's album instead fuck em on his &quot;ass like that &quot; flow",0
"is scrapbooking with Nic =D",4
"@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.",4
"OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.",0
"@united you guys have such big hearts.. keep up the good work",4
"Eating dinner. Meat, chips, and risotto.",2
"i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful ",0
"The Times of India: The wonder that is India's election. http://bit.ly/p7u1H",4
"iOS 8.1 has fucked my battery life on my iPhone 6. Really starting to wonder if @apple has any quality control anymore. Wish I was on 8.01",0
"US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders",0
"@united thank you! 😊",4
"@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.",0
" add DTW and I'm sold!",2
"@mattcutts have google profiles stopped showing up in searches? cant see them anymore",2
"@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2",4
"insects have infected my spinach plant :(",0
"These self driving cars are fucking amazing",4
"itchy back!! dont ya hate it!",0
"#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.",4
"@bluestreak23 @jasonandjodie Coming soon enough my friends - Big project in works for just that - Good new and only good news ",4
"stupid autonomous car  if you can drive yourself you should be able to write a damn research paper on yourself too",0
"I keep seeing a lot of people talk about seeing the Google maps car and I'm just like oh I've seen the Google self-driving car so ðŸ’ðŸš˜",2
"@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job",4
"unbelievably excited about the google self-driving car",4
"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012",0
"@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.",4
"@united cool, thanks.",4
"Weird Piano Guitar House in China! http://u2s.me/72i8",2
"I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.",4
"@stevemoakler i had a dentist appt this morning and had the same conversation!",2
"I want that google car that drives itself",4
"I got new pillows and They fucking pwn all pillows everywhere else. My only regret is that I cant use them for very long tonight. ",0
"well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. ",4
" What confirmation number?",2
"Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.",0
"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",4
"Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50",2
"@united @parryaftab done thnx",4
"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2"".",2
"@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil",0
"I can't wait, going to see star trek tonight!!",4
"Driverless Cars: Now Street-Legal in California ... a good reason to leave CA... no one is behind the wheel http://t.co/1keEMOpH",0
"After using LaTeX a lot, any other typeset mathematics just looks hideous.",4
"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",0
"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.",4
"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",0
"Driver less cars? Fuck that I don't want machines ruling the world FTW",0
"We just saw a self driving Google car!! So awesome!",4
"fucking bored ",0
"Thanks for share. Driverless cars won't make us thinner, healthier, happier â€œ@transitfok: Driverless cars and sprawl http://t.co/q6OI1IfwLhâ€",0
"is annoyed that we aren't trusted because they have no idea how many plans that fucks up ",0
"@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)",4
"@Jonathanrknight so good knight and sleep well.  I know I will now!! ",4
":   
If Starbucks shuts down, anon is decimated",2
"I just fucked up my already fucked ankle because some moron thought it was a good idea to freak me out, and I slipped on ice at my door. ",0
"@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?",0
"Sadie hates the google car. ðŸ˜‚",0
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0
"wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;",4
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",4
"Riding in a driverless car is on my bucket list, this is so damn exciting. #Google http://t.co/dOuKZKacnU",4
"has a date with bobby flay and gut fieri from food network",2
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",4
"Closing time at zeros boo  time to chug those beers fuckers",0
"Slight delay, something to do with the basketball... #DeflateGate?",2
"I'd like to hear what  thinks about Tom Brady's saggy balls #DeflateGate",2
"@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE",0
"@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ",4
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0
"omgg i ohhdee want mcdonalds damn i wonder if its open lol =]",4
"@pdxcommute driverless cars will be 1000x cheaper than high-speed rail and better for everyone. HSR is a waste of money",4
"I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/",4
"eating breakfast and then school",2
"Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly",0
"@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!",0
"Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T",0
"getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.",4
"Morning Tweetland, a long day ahead! Hope everyone has a great day  ",4
"Google developing a driverless car??? da facckk?!",0
"jquery Selectors http://codylindley.com/jqueryselectors/",2
"Good morning at work  don't wanna be there fuckit another day another dollar!!!",0
"wait no, I didn't waste four years...it was more of putting my all into someone who doesn't give a fuck.. ",0
"Soooooooooo has everyone learned everything the EVAH wanted to know about FB players &amp; their balls? Have you? #DEFLATEGATE",2
"RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu",2
"Breaking: Microsoft Develops Self-Driving Car to Compete With Google, Death toll still rising as authorities struggle to contain destruction",0
"My phone died at 8%, why would you let this happen @apple?",0
" How do I enter passport information on an existing reservation before check in?",2
"time warner has the worse customer service ever. I will never use them again",0
" ahhh I have no more tissues and I look like a blow fish from crying.....ahhh I'm stressed the fuck out",0
"@united you suck.    9 hour delay?!",0
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0
": Gosh, I'm fucking emo. I wrote on status on facebook 4 her, mum turned off Tom &amp; Jerry (which me and Ruby was enjoying) For The Hills. ",0
"@jenniferg07 it is all in good fun we know you don't want to kiss a girl. ",4
"is studing math ;) tomorrow exam and dentist :)",4
"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable.""",0
"@colorofviolence yay  i'm happy for you guys....now hurry up and spit out the next one ",4
"Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!",4
"both candidates need Claritin. #StuffyNoseVoices",2
"fuck omg  austins always there though man &lt;3 love you",0
"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",4
"I'd love a self-driving car :)",4
"could it get any worse for kimi  try you fucker!",0
"Google self driving car taking blind MSN to Taco Bell and dry cleaners...awesome! #vmworld Genius Machines http://t.co/NwaaP27B",4
"YES YES YES YES ""a future in which people simply order a self-driving car when they need one."" http://t.co/FMixpTKf0r",4
"I FUCKING HATE PEOPLE ;_; Seriously, what fucking twat would try to pull someone out the car, threaten them and them fucking follow them? ",0
"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",2
"is in San Francisco at Bay to Breakers.",2
"@honey_honeybun Aw, thanks...let's hope so! I am more worried about Geoff's teeth! Hope you are having a good day, H or HB. ",4
"Google driver-less car is not viable , insurance companies would have no part of it.",0
"Cheney and Bush are the real culprits - http://fwix.com/article/939496",0
"is upset about the whole GM thing. life as i know it is so screwed up",0
"yeah guys i will totally bring dublin to the party. he would love the company. ",4
"@united awesome. Thx. And thx for replying so damn fast, sure as hell beats 80s cheeze hold music!!",4
"Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH",0
"Google Tested The Safety Of Its Self-Driving Cars By Swarming Them With Bikes /2dxztZTqSs",2
"At GWT fireside chat @googleio",2
"well tweeps, im off, i gotta have a shower then go get a haircut. good bye everyone ",4
" do you sell open tickets? I have a sick relative and may have to travel at a moments notice. Sad but true.",2
"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!",4
"i think my finger is fucked. 3 days later it still hurts. it hurts to hold a freaking cupcake ",0
"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol",0
"Am I the only one who thought #DeflateGate was about a bad shipment of Viagra? :)",2
"@berofx: good luck with your challenge ",4
"Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM",2
"I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens.",2
"@united  #UnitedAirlines  how long will1531 be delayed.",0
"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/",0
": In honor of #DeflateGate, we are having a sale on things that are supposed to be flat! /1…",2
"@united u would not be able to rebook me to get home any sooner than a now 2hr delayed flight.  #linesforever #customerservice #fail #again",0
"Today was so great.  My roommate and I played some soccer and I also got a nice run in on this sunny day  Time for some reading and sleep.",4
"@united all good! Next flight was a little delayed so it all worked 👍",4
"Only one exam left, and i am so happy for it :D",4
"Incredibly AWESOME. Can't wait. RT â€œ@MandaCessac: Google unveils its self-driving car http://t.co/9e862khJgS This is incredible.â€",4
"I can't wait for the first time a  Car gets the guts of an  Drone on its windshield.",2
"@Croconaw goodnight ",4
"Safeway offering mobile coupons http://bit.ly/ONH7w",2
"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night",4
"@imagejennation @whitrt we found a great Chinese place to hang out at ",4
"@richardebaker no. it is too big. I'm quite happy with the Kindle2.",4
"@ArunBasilLal I love Google Translator too ! :D Good day mate !",4
"RT @SmartChickPDX: Was just told that Nike layoffs started today :-(",0
"  taking the air out of the membership costs?.. heh.. #DeflateGate #IcanDoItToo",2
"@RyanStar  Hey Ryan, just thought I'd say that u put on a great show in Radford Sunday night, &amp; I'm so glad I got to meet you! ",4
"@united our flight attendant @superben was super helpful in finding a bag we left on a flight today. Excellent customer service. Name fits.",4
"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",4
"@Zee It's good, but buggy like a motherfucker. ",0
"@pmarca Couldn't agree more! Had my first ride in a self driving car today. It's amazing. Definitely the future.",4
"Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.",0
"@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl ",4
"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",2
"Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r",2
" Does  not take fraud as seriously?",2
"@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?",0
"Safeway with Marvin, Janelle, and Auntie Lhu",2
"@smiIingbarakat @Apple YEAH APPLE UR SLACKIN",0
"The safeway bathroom still smells like ass!",0
"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect",0
"watching Night at The Museum . Lmao",4
"Pissed at Time Warner for causin me to have slow internet problems",0
"Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379",0
"got paid fuck all and wants to kill the lostprophets. Peace out world, i'll see you in the next life ",0
"@united no chance I wait in ORD all afternoon for another flight after you screwed me. Hold 5396",0
"Gooood mooorning world. I had a dream last night I fucked my knee again  Def need to kick start my strengthening ready for Bournemouth 7s!",0
"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!",0
"I need the self-driving car of Google ðŸ˜©",4
"The way some people are glued to their phones we may already have driverless cars.",2
