"tweet","senti"
"i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.",4
"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!",4
"@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks",4
"They're on about driverless automated cars, why waste the money? Get a fucking taxi",0
"@united I was protected on that flight by gate agent Kerry at LAS. She also did an excellent job getting me to my destination today. Thanks!",4
"oh oh found some clothes!!  And i love em xD",4
"@d3signerd â€¦being systematically run over by driverless cars.",0
"I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.",0
"It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable",0
"Love when Google does futuristic stuff like this. Also giving the self driving car a face is pretty genius: http://t.co/Bgj9i6rvn0",4
"@united I am blown away by stellar #custserv !! Thank you &lt;3 http://t.co/JOrEScfb4x",4
"Driverless cars are terrible. How can anyone be a fan of them. I mean, c'mon!!!",0
"Last day of work before I go on holiday... argh... got fuck loads to do ",0
"testing Twitter API",2
"There is an acceptable level of risk with all new technology, but the reality that people will die in autonomous car is hard to accept #sxsw",0
"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",4
"@united it won't help...been there done that.",0
"@united my UA3426 on 2/19 was also delayed by 2 hours, stretching my trip way past the midnight, extremely exhausting!",0
"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",4
"I hate the effing dentist.",0
"pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299",0
"Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w",2
"If you think people dislike Google Buses and Google Glasses, just wait till a Google Self Driving car causes children to die in a crash.",0
"curses the Twitter API limit",0
"@universewx I've heard that here in Florida, self-driving cars are street-legal. I want one!",4
"I'm itchy and miserable!",0
"New blog post: Nike Trainer 1 http://bit.ly/394bp",2
"New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT",2
"Too fucking early. Super crabby. Want to be back in bed with my pup. Wish I was staying home tonight and being in my own bed. ",0
"@united thank you! Love united!! Have 4 flights today!",4
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",4
"still hungry after eating....",2
"Just applied at Safeway!(: Yeeeee!",4
"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.",0
"@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.",0
"@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... ",4
"Watching Night at the Museum - giggling.",4
"Just got barraged by a horde of insects hungry for my kitchen light. So scary.",0
"Self-driving cars? Sounds good to me!  --- Headline @USATODAY: California okays driverless cars http://t.co/v9jFiX1z",4
" Maybe put a few of those dance steps to use after today's Belichick conference... #DeflateGate #Patriots #PatriotsNation",2
"@craigsutton     that's a long-time, good for you!   ",4
"Night At The Museum 2? Pretty furkin good.",4
"@EricBttn Yeah right!! Just hang out with the cast and accidentally have ALEX fall in love with you too right??? ",4
"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7",4
"@united it's amazing really.",4
"  Yung adopted child namin has just been bitten by a wasp. I gave him Claritin.",2
"â€œ: Google plans to build self-driving car with no steering wheel /aRzeKjjr4Qâ€",2
"DEAR APPLE THIS IS THE WORSE SERVICE EVER @apple http://t.co/JHPs71DF0W",0
"just had a real good moment. i missssssssss him so much, ",4
"Math review. Im going to fail the exam.",0
"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai ",4
"Rt @LilTanLines I know I'm Special... hahaha But the fucking Special Olympics won't let me compete in their events. ",0
"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United",0
": Wonder if there’ll b investigation 2 determine how over inflated , ,  heads are after this? …",2
"fucking myspace!! Let me check my new comments nowwwwwww ",0
"Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!",2
"God sho love him some me  feeling really really blessed tonight++++++",4
"has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations ",4
"Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!",4
"I couldn't be more excited about self-driving cars http://t.co/hpXkh7hX",4
"I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks.",0
"Learning about lambda calculus :)",4
"Uploading the greatest cartoon from the Newspaper ever - regarding Twitter. ",4
"Riding around a @Google self-driving car! â€œ@always_believin: @Mazy where do u see yourself in 10 years? :) #AskMazyâ€",4
"My balls are perfect                              #DeflateGate #TomBrady #inflatethis",2
"Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.",0
"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me",0
"myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba",2
"#WearableDevices To #Consumers : You're Putting Me On - /2eSSgN5Wsv #IBDNews via   #aapl #nke #grmn #amba #invn",2
"@Gerry_Butler If it's something you will enjoy and will make you happy, why not do it? ",4
"is eating  home made yema",2
"@WSJ The idiot who would ride in a driverless car! #tolazytodrive #hireadriver",0
"if freaking the fuck out! way to many assignments due!!! ",0
"Jquery is my new best friend.",4
"Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)",4
"is lovin his Nike  already and that's only from running on the spot in his bedroom",4
"Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O",2
"F*** up big, or go home - AIG",0
"@mischaarmada So today some girl walked into the Bean and i totally thought it was you and i yelled &quot;MIIIIISSSCCCHHHHHHH&quot; fucking LOUD ",0
"ugh. the amount of times these stupid insects have bitten me. Grr..",0
"I think my memory card is fucked  at least its not the one for my DSLR I guess",0
"AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]",4
"@Lou911 Lebron is MURDERING shit.",4
"Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN",2
"Found a safeway. Picking up a few staples.",2
"#Google Self-Driving Car on City Streets http://t.co/6f8qfwZbqg -- I cannot wait until this technology is available to consumers.",4
"Only in Mountain View would you see a Prius with a large roof rack &amp; think, ""Look, a self-driving car!""",2
" hey me and my family have questions on a trip to Disney world that we are doing in April . Please follow me so I could dm you guys",2
"I just saw the google car!!! eekkk my life is complete!!!",4
"Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF",2
"I would like to go for a drive with these guys. Driverless cars will be the safest cars ever #cas13 http://t.co/q24oKdlp",4
"Google's vision, delivering packages with driverless cars / humanoid robots can happen. Amazon drone BS? No. LOL /t6Nlr70rKq",2
"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye",0
"I just wrote and entire story, and it didn't save.   Motherfucker.  ",0
"@mrskutcher it's only 1am here...i'm just on my way TO bed lol. weird. hope you have a good morning! ",4
"Driverless cars seem way overhyped given the infrastructure challenges, pilotless planes seem much more doable and needed.",0
"How to Track Iran with Social Media: http://bit.ly/2BoqU",2
"Google's self-driving car still has many flaws http://t.co/qgqe2JoYMD via @sharethis @google #Autonomous  #Robots",0
"Can't wait for driverless cars to come out! This is the first time I'm excited about motor vehicles, in my entire life.",4
"@Vonster good point, 2 draw  2 don't  nice quote though. I like that.",4
"Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.",0
"@barrier_trio i like to piss ppl off by comparing things like Google Car to robber barons throwing silver dollars from their office windows",0
"I told  that I think I was getting sick and he goes ""I'll give you some of that Claritin D!"" #eww",2
"The Nike Training Club (beta) iPhone app looks very interesting.",4
"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;",0
" #AAPL was a fantastic investment...but what will be its future?  How will AAPL beat AAPL?",2
"'s CEO battles to appease passengers and Wall Street - Waterbury Republican American /IMVMpnQXAI",2
"Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK",4
"time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.",0
"@mayhemstudios Yes, using it for 3 week now. Pretty happy with the result ",4
"Tomorrow is my friday!  +it's a late day for me. Thank goodness. ",4
"@united better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight",0
"eating cake",2
"@hassox no, but that sounds like a good idea, steve. ",4
"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0
"Going to see star trek soon with my dad.",2
"Safari 4 is fast :) Even on my shitty AT&amp;T tethering.",0
"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS",4
"Man im too fucked to be in work ",0
"@beycah Good for you Becca, have a good sleep. ",4
"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",2
"Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ",0
"â€œ: A self-driving car? Here's one you can (not) drive today: /SIHOcdE5mE ",2
"yahoo answers can be a butt sometimes",0
": Be honest--only real surprise about #DeflateGate is that ARod isn't somehow involved.",2
"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0
"I want a driverless car so bad.",4
"8:28 AM - The driverless cars take us to the wrong spot. @DustyEyesSEM says, ""Damn Robots."" I agree. We board a bus. #DelucchiDoesGoogle",0
"@nick_carter you are my IDOL, i love you!  you should reply to me.. &lt;3",4
"my dentist was wrong... WRONG",0
"@evelynbyrne have you tried Nike  ? V. addictive.",4
"BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a",2
"It's got to be nice to be Ted Wells. There's steady work when you're the #NFL's go to guy for investigations.

#DeflateGate",2
"Should nott be up this early  fuckk me",0
"Going to the dentist later.:|",0
"@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin....",2
"â€œ:   I thought it was a self-driving car?!?!â€&lt; must be a manual override by a ""Type A""",2
"Watching a programme about the life of Hitler, its only enhancing my geekiness of history.",2
"@Cookcj I love reading your tweets but it would be nice to see your lovely mug when I read them. Where's your picture? ",4
"Driverless cars!?!?!?!?, I don't think so!! What about all of the rest of crazed &amp; drunk drivers on the road in our society today !??ðŸ™âœŒï¸ðŸŒŽðŸ’«ðŸ‡ºðŸ‡¸",0
"saw night at the museum out of sheer desperation. who is funding these movies?",0
"Warren Buffet on the economy http://ping.fm/Lau0p",2
"@united Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class.",4
"#Durham Driverless car causes crash in NC, two people injured - http://t.co/Oz48xG2bX4 http://t.co/sgdLDH1PJF #dur @DurhamNC_",0
"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/",4
"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake.",2
"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",4
"The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!",4
"Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt",4
" and I just saw the google car!  /vkougcNg",2
"fuck. Lidelle is my favorite ",0
"Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)",0
"Lakers played great!  Cannot wait for Thursday night Lakers vs. ???",4
"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0
"Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!",0
"And so a down day on the market...happy my stocks held up ",4
"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!",4
"Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796",2
"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",2
"It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?",0
"with the boyfriend, eating a quesadilla",2
"Shit's hitting the fan in Iran...craziness indeed #iranelection",0
"So fucking sick. No worries, chug on m'son! You have things to do and places to be... ",0
"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today.",4
"@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF",4
"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8",0
"@CTesdahl well you can always digg or stumble...both have aided me greatly in wasting countless hours of my life ",4
"Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.",4
"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga",4
